0.53,0.51,0.55,1,-0.01
0.56,0.52,0.65,2,-0.01
0.59,0.53,0.8,3,-0.01
0.62,0.54,0.8,0,0
0.65,0.55,0.85,1,-0.01
0.68,0.56,0.95,2,-0.01
0.4186,0.4488,0.5,0,0
0.3372,0.3976,0.5,0,0
0.2558,0.3464,0.45,-1,-0.01
0.1744,0.2952,0.4,-1,-0.01
0.093,0.244,0.35,-1,-0.01
0.0116,0.1928,0.3,-1,-0.01
-0.0698,0.1416,0.25,-1,-5.01
0.4228,0.522,0.45,-1,-0.01
0.3456,0.544,0.45,0,0
0.2684,0.566,0.5,1,-0.01
0.1912,0.588,0.55,1,-0.01
0.114,0.61,0.6,1,-0.01
0.0368,0.632,0.6,0,0
0,0.654,0.6,0,1
0.0772,0.676,0.6,0,0
0.1544,0.698,0.6,0,0
0.2316,0.72,0.6,0,0
0.3088,0.742,0.6,0,0
0.386,0.764,0.6,0,0
0.4632,0.786,0.6,0,0
0.5404,0.808,0.6,0,0
0.6176,0.83,0.6,0,0
0.6948,0.852,0.6,0,0
0.772,0.874,0.6,0,0
0.8492,0.896,0.6,0,0
0.9264,0.918,0.6,0,0
1,0.94,0.6,0,0
0.9228,0.962,0.6,0,0
0.8456,0.984,0.6,0,0
0.7684,1,0.6,0,0
0.6912,0.978,0.6,0,0
0.614,0.956,0.6,0,0
0.5368,0.934,0.6,0,0
0.4596,0.912,0.6,0,0
0.3824,0.89,0.6,0,0
0.3052,0.868,0.6,0,0
0.228,0.846,0.6,0,0
0.1508,0.824,0.6,0,0
0.0736001,0.802,0.65,1,-0.01
0,0.78,0.7,1,0.99
0.0772,0.758,0.75,1,-0.01
0.1544,0.736,0.75,0,0
0.2316,0.714,0.75,0,0
0.3088,0.692,0.75,0,0
0.386,0.67,0.75,0,0
0.4632,0.648,0.75,0,0
0.5404,0.626,0.75,0,0
0.6176,0.604,0.75,0,0
0.6948,0.582,0.75,0,0
0.772,0.56,0.75,0,0
0.8492,0.538,0.75,0,0
0.9264,0.516,0.75,0,0
1,0.494,0.75,0,0
0.9228,0.472,0.75,0,0
0.8456,0.45,0.75,0,0
0.7684,0.428,0.75,0,0
0.6912,0.406,0.75,0,0
0.614,0.384,0.75,0,0
0.5368,0.362,0.7,-1,-0.01
0.4596,0.34,0.65,-1,-0.01
0.3824,0.318,0.6,-1,-0.01
0.3052,0.296,0.55,-1,-0.01
0.228,0.274,0.5,-1,-0.01
0.1508,0.251999,0.45,-1,-0.01
0.0736001,0.229999,0.4,-1,-0.01
-0.00359994,0.207999,0.35,-1,-5.01
0.5886,0.5444,0.45,-1,-0.01
0.6772,0.5888,0.45,0,0
0.7658,0.6332,0.45,0,0
0.8544,0.6776,0.45,0,0
0.943,0.722,0.45,0,0
1,0.7664,0.45,0,0
0.9114,0.8108,0.45,0,0
0.8228,0.8552,0.5,1,-0.01
0.7342,0.8996,0.55,1,-0.01
0.6456,0.944,0.6,1,-0.01
0.557,0.9884,0.65,1,-0.01
0.4684,1,0.7,1,-0.01
0.3798,0.9556,0.75,1,-0.01
0.2912,0.9112,0.8,1,-0.01
0.2026,0.8668,0.85,1,-0.01
0.114,0.8224,0.85,0,0
0.0254002,0.778,0.85,0,0
-0.0631998,0.7336,0.85,0,-5
0.403,0.4692,0.5,0,0
0.306,0.4384,0.5,0,0
